id,date,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual
0,2011-01-01,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331
1,2011-01-02,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131
2,2011-01-03,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120
3,2011-01-04,0,2,1,1,0.2,0.212122,0.590435,0.160296,108
4,2011-01-05,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82
5,2011-01-06,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88
6,2011-01-07,0,5,1,2,0.196522,0.208839,0.498696,0.168726,148
7,2011-01-08,0,6,0,2,0.165,0.162254,0.535833,0.266804,68
8,2011-01-09,0,0,0,1,0.138333,0.116175,0.434167,0.36195,54
9,2011-01-10,0,1,1,1,0.150833,0.150888,0.482917,0.223267,41
10,2011-01-11,0,2,1,2,0.169091,0.191464,0.686364,0.122132,43
11,2011-01-12,0,3,1,1,0.172727,0.160473,0.599545,0.304627,25
12,2011-01-13,0,4,1,1,0.165,0.150883,0.470417,0.301,38
13,2011-01-14,0,5,1,1,0.16087,0.188413,0.537826,0.126548,54
14,2011-01-15,0,6,0,2,0.233333,0.248112,0.49875,0.157963,222
15,2011-01-16,0,0,0,1,0.231667,0.234217,0.48375,0.188433,251
16,2011-01-17,1,1,0,2,0.175833,0.176771,0.5375,0.194017,117
17,2011-01-18,0,2,1,2,0.216667,0.232333,0.861667,0.146775,9
18,2011-01-19,0,3,1,2,0.292174,0.298422,0.741739,0.208317,78
19,2011-01-20,0,4,1,2,0.261667,0.25505,0.538333,0.195904,83
20,2011-01-21,0,5,1,1,0.1775,0.157833,0.457083,0.353242,75
21,2011-01-22,0,6,0,1,0.0591304,0.0790696,0.4,0.17197,93
22,2011-01-23,0,0,0,1,0.0965217,0.0988391,0.436522,0.2466,150
23,2011-01-24,0,1,1,1,0.0973913,0.11793,0.491739,0.15833,86
24,2011-01-25,0,2,1,2,0.223478,0.234526,0.616957,0.129796,186
25,2011-01-26,0,3,1,3,0.2175,0.2036,0.8625,0.29385,34
26,2011-01-27,0,4,1,1,0.195,0.2197,0.6875,0.113837,15
27,2011-01-28,0,5,1,2,0.203478,0.223317,0.793043,0.1233,38
28,2011-01-29,0,6,0,1,0.196522,0.212126,0.651739,0.145365,123
29,2011-01-30,0,0,0,1,0.216522,0.250322,0.722174,0.0739826,140
30,2011-01-31,0,1,1,2,0.180833,0.18625,0.60375,0.187192,42
31,2011-02-01,0,2,1,2,0.192174,0.23453,0.829565,0.053213,47
32,2011-02-02,0,3,1,2,0.26,0.254417,0.775417,0.264308,72
33,2011-02-03,0,4,1,1,0.186957,0.177878,0.437826,0.277752,61
34,2011-02-04,0,5,1,2,0.211304,0.228587,0.585217,0.127839,88
35,2011-02-05,0,6,0,2,0.233333,0.243058,0.929167,0.161079,100
36,2011-02-06,0,0,0,1,0.285833,0.291671,0.568333,0.1418,354
37,2011-02-07,0,1,1,1,0.271667,0.303658,0.738333,0.0454083,120
38,2011-02-08,0,2,1,1,0.220833,0.198246,0.537917,0.36195,64
39,2011-02-09,0,3,1,2,0.134783,0.144283,0.494783,0.188839,53
40,2011-02-10,0,4,1,1,0.144348,0.149548,0.437391,0.221935,47
41,2011-02-11,0,5,1,1,0.189091,0.213509,0.506364,0.10855,149
42,2011-02-12,0,6,0,1,0.2225,0.232954,0.544167,0.203367,288
43,2011-02-13,0,0,0,1,0.316522,0.324113,0.457391,0.260883,397
44,2011-02-14,0,1,1,1,0.415,0.39835,0.375833,0.417908,208
45,2011-02-15,0,2,1,1,0.266087,0.254274,0.314348,0.291374,140
46,2011-02-16,0,3,1,1,0.318261,0.3162,0.423478,0.251791,218
47,2011-02-17,0,4,1,1,0.435833,0.428658,0.505,0.230104,259
48,2011-02-18,0,5,1,1,0.521667,0.511983,0.516667,0.264925,579
49,2011-02-19,0,6,0,1,0.399167,0.391404,0.187917,0.507463,532
50,2011-02-20,0,0,0,1,0.285217,0.27733,0.407826,0.223235,639
51,2011-02-21,1,1,0,2,0.303333,0.284075,0.605,0.307846,195
52,2011-02-22,0,2,1,1,0.182222,0.186033,0.577778,0.195683,74
53,2011-02-23,0,3,1,1,0.221739,0.245717,0.423043,0.094113,139
54,2011-02-24,0,4,1,2,0.295652,0.289191,0.697391,0.250496,100
55,2011-02-25,0,5,1,2,0.364348,0.350461,0.712174,0.346539,120
56,2011-02-26,0,6,0,1,0.2825,0.282192,0.537917,0.186571,424
57,2011-02-27,0,0,0,1,0.343478,0.351109,0.68,0.125248,694
58,2011-02-28,0,1,1,2,0.407273,0.400118,0.876364,0.289686,81
59,2011-03-01,0,2,1,1,0.266667,0.263879,0.535,0.216425,137
60,2011-03-02,0,3,1,1,0.335,0.320071,0.449583,0.307833,231
61,2011-03-03,0,4,1,1,0.198333,0.200133,0.318333,0.225754,123
62,2011-03-04,0,5,1,2,0.261667,0.255679,0.610417,0.203346,214
63,2011-03-05,0,6,0,2,0.384167,0.378779,0.789167,0.251871,640
64,2011-03-06,0,0,0,2,0.376522,0.366252,0.948261,0.343287,114
65,2011-03-07,0,1,1,1,0.261739,0.238461,0.551304,0.341352,244
66,2011-03-08,0,2,1,1,0.2925,0.3024,0.420833,0.12065,316
67,2011-03-09,0,3,1,2,0.295833,0.286608,0.775417,0.22015,191
68,2011-03-10,0,4,1,3,0.389091,0.385668,0.0,0.261877,46
69,2011-03-11,0,5,1,2,0.316522,0.305,0.649565,0.23297,247
70,2011-03-12,0,6,0,1,0.329167,0.32575,0.594583,0.220775,724
71,2011-03-13,0,0,0,1,0.384348,0.380091,0.527391,0.270604,982
72,2011-03-14,0,1,1,1,0.325217,0.332,0.496957,0.136926,359
73,2011-03-15,0,2,1,2,0.317391,0.318178,0.655652,0.184309,289
74,2011-03-16,0,3,1,2,0.365217,0.36693,0.776522,0.203117,321
75,2011-03-17,0,4,1,1,0.415,0.410333,0.602917,0.209579,424
76,2011-03-18,0,5,1,1,0.54,0.527009,0.525217,0.231017,884
77,2011-03-19,0,6,0,1,0.4725,0.466525,0.379167,0.368167,1424
78,2011-03-20,0,0,0,1,0.3325,0.32575,0.47375,0.207721,1047
79,2011-03-21,0,1,1,2,0.430435,0.409735,0.737391,0.288783,401
80,2011-03-22,0,2,1,1,0.441667,0.440642,0.624583,0.22575,460
81,2011-03-23,0,3,1,2,0.346957,0.337939,0.839565,0.234261,203
82,2011-03-24,0,4,1,2,0.285,0.270833,0.805833,0.243787,166
83,2011-03-25,0,5,1,1,0.264167,0.256312,0.495,0.230725,300
84,2011-03-26,0,6,0,1,0.265833,0.257571,0.394167,0.209571,981
85,2011-03-27,0,0,0,2,0.253043,0.250339,0.493913,0.1843,472
86,2011-03-28,0,1,1,1,0.264348,0.257574,0.302174,0.212204,222
87,2011-03-29,0,2,1,1,0.3025,0.292908,0.314167,0.226996,317
88,2011-03-30,0,3,1,2,0.3,0.29735,0.646667,0.172888,168
89,2011-03-31,0,4,1,3,0.268333,0.257575,0.918333,0.217646,179
90,2011-04-01,0,5,1,2,0.3,0.283454,0.68625,0.258708,307
91,2011-04-02,0,6,0,2,0.315,0.315637,0.65375,0.197146,898
92,2011-04-03,0,0,0,1,0.378333,0.378767,0.48,0.182213,1651
93,2011-04-04,0,1,1,1,0.573333,0.542929,0.42625,0.385571,734
94,2011-04-05,0,2,1,2,0.414167,0.39835,0.642083,0.388067,167
95,2011-04-06,0,3,1,1,0.390833,0.387608,0.470833,0.263063,413
96,2011-04-07,0,4,1,1,0.4375,0.433696,0.602917,0.162312,571
97,2011-04-08,0,5,1,2,0.335833,0.324479,0.83625,0.226992,172
98,2011-04-09,0,6,0,2,0.3425,0.341529,0.8775,0.133083,879
99,2011-04-10,0,0,0,2,0.426667,0.426737,0.8575,0.146767,1188
100,2011-04-11,0,1,1,2,0.595652,0.565217,0.716956,0.324474,855
101,2011-04-12,0,2,1,2,0.5025,0.493054,0.739167,0.274879,257
102,2011-04-13,0,3,1,2,0.4125,0.417283,0.819167,0.250617,209
103,2011-04-14,0,4,1,1,0.4675,0.462742,0.540417,0.1107,529
104,2011-04-15,1,5,0,1,0.446667,0.441913,0.67125,0.226375,642
105,2011-04-16,0,6,0,3,0.430833,0.425492,0.888333,0.340808,121
106,2011-04-17,0,0,0,1,0.456667,0.445696,0.479583,0.303496,1558
107,2011-04-18,0,1,1,1,0.5125,0.503146,0.5425,0.163567,669
108,2011-04-19,0,2,1,2,0.505833,0.489258,0.665833,0.157971,409
109,2011-04-20,0,3,1,1,0.595,0.564392,0.614167,0.241925,613
110,2011-04-21,0,4,1,1,0.459167,0.453892,0.407083,0.325258,745
111,2011-04-22,0,5,1,2,0.336667,0.321954,0.729583,0.219521,177
112,2011-04-23,0,6,0,2,0.46,0.450121,0.887917,0.230725,1462
113,2011-04-24,0,0,0,2,0.581667,0.551763,0.810833,0.192175,1710
114,2011-04-25,0,1,1,1,0.606667,0.5745,0.776667,0.185333,773
115,2011-04-26,0,2,1,1,0.631667,0.594083,0.729167,0.3265,678
116,2011-04-27,0,3,1,2,0.62,0.575142,0.835417,0.3122,547
117,2011-04-28,0,4,1,2,0.6175,0.578929,0.700833,0.320908,569
118,2011-04-29,0,5,1,1,0.51,0.497463,0.457083,0.240063,878
119,2011-04-30,0,6,0,1,0.4725,0.464021,0.503333,0.235075,1965
120,2011-05-01,0,0,0,2,0.451667,0.448204,0.762083,0.106354,1138
121,2011-05-02,0,1,1,2,0.549167,0.532833,0.73,0.183454,847
122,2011-05-03,0,2,1,2,0.616667,0.582079,0.697083,0.342667,603
123,2011-05-04,0,3,1,2,0.414167,0.40465,0.737083,0.328996,255
124,2011-05-05,0,4,1,1,0.459167,0.441917,0.444167,0.295392,614
125,2011-05-06,0,5,1,1,0.479167,0.474117,0.59,0.228246,894
126,2011-05-07,0,6,0,1,0.52,0.512621,0.54125,0.16045,1612
127,2011-05-08,0,0,0,1,0.528333,0.518933,0.631667,0.0746375,1401
128,2011-05-09,0,1,1,1,0.5325,0.525246,0.58875,0.176,664
129,2011-05-10,0,2,1,1,0.5325,0.522721,0.489167,0.115671,694
130,2011-05-11,0,3,1,1,0.5425,0.5284,0.632917,0.120642,550
131,2011-05-12,0,4,1,1,0.535,0.523363,0.7475,0.189667,695
132,2011-05-13,0,5,1,2,0.5125,0.4943,0.863333,0.179725,692
133,2011-05-14,0,6,0,2,0.520833,0.500629,0.9225,0.13495,902
134,2011-05-15,0,0,0,2,0.5625,0.536,0.867083,0.152979,1582
135,2011-05-16,0,1,1,1,0.5775,0.550512,0.787917,0.126871,773
136,2011-05-17,0,2,1,2,0.561667,0.538529,0.837917,0.277354,678
137,2011-05-18,0,3,1,2,0.55,0.527158,0.87,0.201492,536
138,2011-05-19,0,4,1,2,0.530833,0.510742,0.829583,0.108213,735
139,2011-05-20,0,5,1,1,0.536667,0.529042,0.719583,0.125013,909
140,2011-05-21,0,6,0,1,0.6025,0.571975,0.626667,0.12065,2258
141,2011-05-22,0,0,0,1,0.604167,0.5745,0.749583,0.148008,1576
142,2011-05-23,0,1,1,2,0.631667,0.590296,0.81,0.233842,836
143,2011-05-24,0,2,1,2,0.66,0.604813,0.740833,0.207092,659
144,2011-05-25,0,3,1,1,0.660833,0.615542,0.69625,0.154233,740
145,2011-05-26,0,4,1,1,0.708333,0.654688,0.6775,0.199642,758
146,2011-05-27,0,5,1,1,0.681667,0.637008,0.65375,0.240679,871
147,2011-05-28,0,6,0,1,0.655833,0.612379,0.729583,0.230092,2001
148,2011-05-29,0,0,0,1,0.6675,0.61555,0.81875,0.213938,2355
149,2011-05-30,1,1,0,1,0.733333,0.671092,0.685,0.131225,1549
150,2011-05-31,0,2,1,1,0.775,0.725383,0.636667,0.111329,673
151,2011-06-01,0,3,1,2,0.764167,0.720967,0.677083,0.207092,513
152,2011-06-02,0,4,1,1,0.715,0.643942,0.305,0.292287,736
153,2011-06-03,0,5,1,1,0.62,0.587133,0.354167,0.253121,898
154,2011-06-04,0,6,0,1,0.635,0.594696,0.45625,0.123142,1869
155,2011-06-05,0,0,0,2,0.648333,0.616804,0.6525,0.138692,1685
156,2011-06-06,0,1,1,1,0.678333,0.621858,0.6,0.121896,673
157,2011-06-07,0,2,1,1,0.7075,0.65595,0.597917,0.187808,763
158,2011-06-08,0,3,1,1,0.775833,0.727279,0.622083,0.136817,676
159,2011-06-09,0,4,1,2,0.808333,0.757579,0.568333,0.149883,563
160,2011-06-10,0,5,1,1,0.755,0.703292,0.605,0.140554,815
161,2011-06-11,0,6,0,1,0.725,0.678038,0.654583,0.15485,1729
162,2011-06-12,0,0,0,1,0.6925,0.643325,0.747917,0.163567,1467
163,2011-06-13,0,1,1,1,0.635,0.601654,0.494583,0.30535,863
164,2011-06-14,0,2,1,1,0.604167,0.591546,0.507083,0.269283,727
165,2011-06-15,0,3,1,1,0.626667,0.587754,0.471667,0.167912,769
166,2011-06-16,0,4,1,2,0.628333,0.595346,0.688333,0.206471,545
167,2011-06-17,0,5,1,1,0.649167,0.600383,0.735833,0.143029,863
168,2011-06-18,0,6,0,1,0.696667,0.643954,0.670417,0.119408,1807
169,2011-06-19,0,0,0,2,0.699167,0.645846,0.666667,0.102,1639
170,2011-06-20,0,1,1,2,0.635,0.595346,0.74625,0.155475,699
171,2011-06-21,0,2,1,2,0.680833,0.637646,0.770417,0.171025,774
172,2011-06-22,0,3,1,1,0.733333,0.693829,0.7075,0.172262,661
173,2011-06-23,0,4,1,2,0.728333,0.693833,0.703333,0.238804,746
174,2011-06-24,0,5,1,1,0.724167,0.656583,0.573333,0.222025,969
175,2011-06-25,0,6,0,1,0.695,0.643313,0.483333,0.209571,1782
176,2011-06-26,0,0,0,1,0.68,0.637629,0.513333,0.0945333,1920
177,2011-06-27,0,1,1,2,0.6825,0.637004,0.658333,0.107588,854
178,2011-06-28,0,2,1,1,0.744167,0.692558,0.634167,0.144283,732
179,2011-06-29,0,3,1,1,0.728333,0.654688,0.497917,0.261821,848
180,2011-06-30,0,4,1,1,0.696667,0.637008,0.434167,0.185312,1027
181,2011-07-01,0,5,1,1,0.7225,0.652162,0.39625,0.102608,1246
182,2011-07-02,0,6,0,1,0.738333,0.667308,0.444583,0.115062,2204
183,2011-07-03,0,0,0,2,0.716667,0.668575,0.6825,0.228858,2282
184,2011-07-04,1,1,0,2,0.726667,0.665417,0.637917,0.0814792,3065
185,2011-07-05,0,2,1,1,0.746667,0.696338,0.590417,0.126258,1031
186,2011-07-06,0,3,1,1,0.72,0.685633,0.743333,0.149883,784
187,2011-07-07,0,4,1,1,0.75,0.686871,0.65125,0.1592,754
188,2011-07-08,0,5,1,2,0.709167,0.670483,0.757917,0.225129,692
189,2011-07-09,0,6,0,1,0.733333,0.664158,0.609167,0.167912,1988
190,2011-07-10,0,0,0,1,0.7475,0.690025,0.578333,0.183471,1743
191,2011-07-11,0,1,1,1,0.7625,0.729804,0.635833,0.282337,723
192,2011-07-12,0,2,1,1,0.794167,0.739275,0.559167,0.200254,662
193,2011-07-13,0,3,1,1,0.746667,0.689404,0.631667,0.146133,748
194,2011-07-14,0,4,1,1,0.680833,0.635104,0.47625,0.240667,888
195,2011-07-15,0,5,1,1,0.663333,0.624371,0.59125,0.182833,1318
196,2011-07-16,0,6,0,1,0.686667,0.638263,0.585,0.208342,2418
197,2011-07-17,0,0,0,1,0.719167,0.669833,0.604167,0.245033,2006
198,2011-07-18,0,1,1,1,0.746667,0.703925,0.65125,0.215804,841
199,2011-07-19,0,2,1,1,0.776667,0.747479,0.650417,0.1306,752
200,2011-07-20,0,3,1,1,0.768333,0.74685,0.707083,0.113817,644
201,2011-07-21,0,4,1,2,0.815,0.826371,0.69125,0.222021,632
202,2011-07-22,0,5,1,1,0.848333,0.840896,0.580417,0.1331,562
203,2011-07-23,0,6,0,1,0.849167,0.804287,0.5,0.131221,987
204,2011-07-24,0,0,0,1,0.83,0.794829,0.550833,0.169171,1050
205,2011-07-25,0,1,1,1,0.743333,0.720958,0.757083,0.0908083,568
206,2011-07-26,0,2,1,1,0.771667,0.696979,0.540833,0.200258,750
207,2011-07-27,0,3,1,1,0.775,0.690667,0.402917,0.183463,755
208,2011-07-28,0,4,1,1,0.779167,0.7399,0.583333,0.178479,606
209,2011-07-29,0,5,1,1,0.838333,0.785967,0.5425,0.174138,670
210,2011-07-30,0,6,0,1,0.804167,0.728537,0.465833,0.168537,1559
211,2011-07-31,0,0,0,1,0.805833,0.729796,0.480833,0.164813,1524
212,2011-08-01,0,1,1,1,0.771667,0.703292,0.550833,0.156717,729
213,2011-08-02,0,2,1,1,0.783333,0.707071,0.49125,0.20585,801
214,2011-08-03,0,3,1,2,0.731667,0.679937,0.6575,0.135583,467
215,2011-08-04,0,4,1,2,0.71,0.664788,0.7575,0.19715,799
216,2011-08-05,0,5,1,1,0.710833,0.656567,0.630833,0.184696,1023
217,2011-08-06,0,6,0,2,0.716667,0.676154,0.755,0.22825,1521
218,2011-08-07,0,0,0,1,0.7425,0.715292,0.752917,0.201487,1298
219,2011-08-08,0,1,1,1,0.765,0.703283,0.592083,0.192175,846
220,2011-08-09,0,2,1,1,0.775,0.724121,0.570417,0.151121,907
221,2011-08-10,0,3,1,1,0.766667,0.684983,0.424167,0.200258,884
222,2011-08-11,0,4,1,1,0.7175,0.651521,0.42375,0.164796,812
223,2011-08-12,0,5,1,1,0.708333,0.654042,0.415,0.125621,1051
224,2011-08-13,0,6,0,2,0.685833,0.645858,0.729583,0.211454,1504
225,2011-08-14,0,0,0,2,0.676667,0.624388,0.8175,0.222633,1338
226,2011-08-15,0,1,1,1,0.665833,0.616167,0.712083,0.208954,775
227,2011-08-16,0,2,1,1,0.700833,0.645837,0.578333,0.236329,721
228,2011-08-17,0,3,1,1,0.723333,0.666671,0.575417,0.143667,668
229,2011-08-18,0,4,1,1,0.711667,0.662258,0.654583,0.233208,639
230,2011-08-19,0,5,1,2,0.685,0.633221,0.722917,0.139308,797
231,2011-08-20,0,6,0,1,0.6975,0.648996,0.674167,0.104467,1914
232,2011-08-21,0,0,0,1,0.710833,0.675525,0.77,0.248754,1249
233,2011-08-22,0,1,1,1,0.691667,0.638254,0.47,0.27675,833
234,2011-08-23,0,2,1,1,0.640833,0.606067,0.455417,0.146763,1281
235,2011-08-24,0,3,1,1,0.673333,0.630692,0.605,0.253108,949
236,2011-08-25,0,4,1,2,0.684167,0.645854,0.771667,0.210833,435
237,2011-08-26,0,5,1,1,0.7,0.659733,0.76125,0.0839625,768
238,2011-08-27,0,6,0,2,0.68,0.635556,0.85,0.375617,226
239,2011-08-28,0,0,0,1,0.707059,0.647959,0.561765,0.304659,1415
240,2011-08-29,0,1,1,1,0.636667,0.607958,0.554583,0.159825,729
241,2011-08-30,0,2,1,1,0.639167,0.594704,0.548333,0.125008,775
242,2011-08-31,0,3,1,1,0.656667,0.611121,0.597917,0.0833333,688
243,2011-09-01,0,4,1,1,0.655,0.614921,0.639167,0.141796,783
244,2011-09-02,0,5,1,2,0.643333,0.604808,0.727083,0.139929,875
